time,pres_1,temp_1,pres_2,temp_2
-30.0,89.777,21.42,6.731,21.42
-29.9,89.754,21.32,6.731,21.32
-29.8,89.754,21.32,6.707,21.32
-29.7,89.754,21.32,6.731,21.32
-29.6,89.754,21.32,6.707,21.32
-29.5,89.754,21.42,6.731,21.42
-29.4,89.754,21.32,6.707,21.32
-29.3,89.754,21.32,6.731,21.32
-29.2,89.777,21.42,6.731,21.42
-29.1,89.754,21.32,6.707,21.32
-29.0,89.730,21.32,6.731,21.32
-28.9,89.777,21.42,6.707,21.42
-28.8,89.754,21.32,6.754,21.32
-28.7,89.777,21.42,6.707,21.42
-28.6,89.754,21.32,6.731,21.32
-28.5,89.730,21.32,6.731,21.32
-28.4,89.730,21.32,6.731,21.32
-28.3,89.754,21.32,6.731,21.32
-28.2,89.730,21.32,6.707,21.32
-28.1,89.754,21.32,6.731,21.32
-28.0,89.777,21.32,6.731,21.32
-27.9,89.730,21.32,6.731,21.32
-27.8,89.754,21.32,6.707,21.32
-27.7,89.777,21.42,6.707,21.42
-27.6,89.754,21.32,6.731,21.32
-27.5,89.777,21.42,6.707,21.42
-27.4,89.777,21.42,6.707,21.42
-27.3,89.777,21.42,6.754,21.42
-27.2,89.777,21.42,6.707,21.42
-27.1,89.777,21.42,6.731,21.42
-27.0,89.777,21.42,6.707,21.42
-26.9,89.777,21.42,6.707,21.42
-26.8,89.777,21.42,6.707,21.42
-26.7,89.754,21.32,6.707,21.32
-26.6,89.777,21.42,6.707,21.42
-26.5,89.777,21.42,6.707,21.42
-26.4,89.777,21.42,6.731,21.42
-26.3,89.777,21.42,6.754,21.42
-26.2,89.777,21.42,6.707,21.42
-26.1,89.777,21.42,6.754,21.42
-26.0,89.777,21.42,6.707,21.42
-25.9,89.777,21.42,6.731,21.42
-25.8,89.777,21.42,6.707,21.42
-25.7,89.777,21.42,6.731,21.42
-25.6,89.777,21.42,6.731,21.42
-25.5,89.754,21.42,6.707,21.42
-25.4,89.754,21.42,6.731,21.42
-25.3,89.777,21.42,6.707,21.42
-25.2,89.754,21.42,6.707,21.42
-25.1,89.777,21.42,6.731,21.42
-25.0,89.754,21.42,6.731,21.42
-24.9,89.777,21.42,6.707,21.42
-24.8,89.777,21.42,6.731,21.42
-24.7,89.754,21.42,6.731,21.42
-24.6,89.777,21.42,6.731,21.42
-24.5,89.777,21.42,6.731,21.42
-24.4,89.777,21.42,6.731,21.42
-24.3,89.777,21.42,6.707,21.42
-24.2,89.777,21.42,6.731,21.42
-24.1,89.777,21.42,6.731,21.42
-24.0,89.777,21.42,6.754,21.42
-23.9,89.777,21.42,6.707,21.42
-23.8,89.777,21.42,6.707,21.42
-23.7,89.777,21.42,6.731,21.42
-23.6,89.777,21.42,6.731,21.42
-23.5,89.777,21.42,6.731,21.42
-23.4,89.777,21.42,6.731,21.42
-23.3,89.777,21.42,6.731,21.42
-23.2,89.793,21.42,6.754,21.42
-23.1,89.777,21.42,6.731,21.42
-23.0,89.777,21.42,6.754,21.42
-22.9,89.777,21.42,6.731,21.42
-22.8,89.777,21.42,6.731,21.42
-22.7,89.777,21.42,6.707,21.42
-22.6,89.777,21.42,6.707,21.42
-22.5,89.777,21.42,6.731,21.42
-22.4,89.777,21.42,6.707,21.42
-22.3,89.777,21.42,6.707,21.42
-22.2,89.777,21.42,6.731,21.42
-22.1,89.777,21.42,6.731,21.42
-22.0,89.793,21.42,6.754,21.42
-21.9,89.777,21.42,6.731,21.42
-21.8,89.777,21.42,6.754,21.42
-21.7,89.777,21.42,6.731,21.42
-21.6,89.793,21.42,6.731,21.42
-21.5,89.777,21.42,6.707,21.42
-21.4,89.777,21.42,6.707,21.42
-21.3,89.754,21.42,6.731,21.42
-21.2,89.777,21.42,6.731,21.42
-21.1,89.777,21.42,6.707,21.42
-21.0,89.777,21.42,6.707,21.42
-20.9,89.777,21.42,6.731,21.42
-20.8,89.777,21.42,6.707,21.42
-20.7,89.777,21.42,6.731,21.42
-20.6,89.754,21.42,6.731,21.42
-20.5,89.777,21.42,6.707,21.42
-20.4,89.777,21.42,6.731,21.42
-20.3,89.777,21.42,6.707,21.42
-20.2,89.777,21.42,6.731,21.42
-20.1,89.777,21.42,6.731,21.42
-20.0,89.777,21.42,6.731,21.42
-19.9,89.777,21.42,6.707,21.42
-19.8,89.793,21.42,6.707,21.42
-19.7,89.793,21.42,6.731,21.42
-19.6,89.777,21.42,6.707,21.42
-19.5,89.777,21.42,6.707,21.42
-19.4,89.777,21.42,6.731,21.42
-19.3,89.777,21.42,6.754,21.42
-19.2,89.793,21.42,6.707,21.42
-19.1,89.793,21.42,6.754,21.42
-19.0,89.793,21.42,6.731,21.42
-18.9,89.777,21.42,6.731,21.42
-18.8,89.777,21.42,6.707,21.42
-18.7,89.817,21.42,6.707,21.42
-18.6,89.777,21.42,6.731,21.42
-18.5,89.777,21.42,6.731,21.42
-18.4,89.777,21.42,6.731,21.42
-18.3,89.793,21.42,6.731,21.42
-18.2,89.777,21.42,6.707,21.42
-18.1,89.793,21.42,6.707,21.42
-18.0,89.817,21.42,6.731,21.42
-17.9,89.793,21.42,6.754,21.42
-17.8,89.754,21.42,6.707,21.42
-17.7,89.793,21.42,6.707,21.42
-17.6,89.777,21.42,6.731,21.42
-17.5,89.793,21.42,6.731,21.42
-17.4,89.793,21.42,6.731,21.42
-17.3,89.793,21.42,6.707,21.42
-17.2,89.793,21.42,6.731,21.42
-17.1,89.777,21.42,6.731,21.42
-17.0,89.793,21.42,6.731,21.42
-16.9,89.777,21.42,6.731,21.42
-16.8,89.793,21.42,6.731,21.42
-16.7,89.777,21.42,6.731,21.42
-16.6,89.777,21.42,6.754,21.42
-16.5,89.793,21.42,6.731,21.42
-16.4,89.777,21.42,6.731,21.42
-16.3,89.793,21.42,6.731,21.42
-16.2,89.817,21.42,6.731,21.42
-16.1,89.793,21.42,6.707,21.42
-16.0,89.793,21.42,6.754,21.42
-15.9,89.777,21.42,6.731,21.42
-15.8,89.793,21.42,6.731,21.42
-15.7,89.793,21.42,6.707,21.42
-15.6,89.817,21.42,6.731,21.42
-15.5,89.793,21.42,6.731,21.42
-15.4,89.777,21.42,6.731,21.42
-15.3,89.817,21.42,6.731,21.42
-15.2,89.817,21.42,6.707,21.42
-15.1,89.793,21.42,6.707,21.42
-15.0,89.793,21.42,6.731,21.42
-14.9,89.793,21.42,6.731,21.42
-14.8,89.777,21.42,6.707,21.42
-14.7,89.793,21.42,6.731,21.42
-14.6,89.793,21.42,6.731,21.42
-14.5,89.793,21.42,6.731,21.42
-14.4,89.793,21.42,6.731,21.42
-14.3,89.777,21.42,6.707,21.42
-14.2,89.793,21.42,6.731,21.42
-14.1,89.793,21.42,6.731,21.42
-14.0,89.793,21.42,6.731,21.42
-13.9,89.793,21.42,6.754,21.42
-13.8,89.793,21.42,6.754,21.42
-13.7,89.793,21.42,6.731,21.42
-13.6,89.793,21.42,6.731,21.42
-13.5,89.793,21.42,6.754,21.42
-13.4,89.793,21.42,6.731,21.42
-13.3,89.793,21.42,6.731,21.42
-13.2,89.793,21.42,6.754,21.42
-13.1,89.793,21.42,6.754,21.42
-13.0,89.817,21.42,6.731,21.42
-12.9,89.777,21.42,6.731,21.42
-12.8,89.793,21.42,6.707,21.42
-12.7,89.777,21.42,6.731,21.42
-12.6,89.817,21.42,6.731,21.42
-12.5,89.793,21.42,6.731,21.42
-12.4,89.793,21.42,6.754,21.42
-12.3,89.793,21.42,6.731,21.42
-12.2,89.793,21.42,6.754,21.42
-12.1,89.793,21.42,6.707,21.42
-12.0,89.793,21.42,6.754,21.42
-11.9,89.793,21.42,6.731,21.42
-11.8,89.793,21.42,6.707,21.42
-11.7,89.793,21.42,6.731,21.42
-11.6,89.793,21.42,6.731,21.42
-11.5,89.793,21.42,6.754,21.42
-11.4,89.793,21.42,6.731,21.42
-11.3,89.793,21.42,6.754,21.42
-11.2,89.793,21.42,6.731,21.42
-11.1,89.793,21.42,6.731,21.42
-11.0,89.793,21.42,6.731,21.42
-10.9,89.793,21.42,6.731,21.42
-10.8,89.793,21.42,6.731,21.42
-10.7,89.793,21.42,6.731,21.42
-10.6,89.793,21.42,6.754,21.42
-10.5,89.793,21.42,6.754,21.42
-10.4,89.793,21.42,6.707,21.42
-10.3,89.793,21.42,6.731,21.42
-10.2,89.777,21.42,6.731,21.42
-10.1,89.793,21.42,6.754,21.42
-10.0,89.793,21.42,6.731,21.42
-9.9,89.793,21.42,6.731,21.42
-9.8,89.777,21.42,6.754,21.42
-9.7,89.793,21.42,6.731,21.42
-9.6,89.793,21.42,6.754,21.42
-9.5,89.793,21.42,6.731,21.42
-9.4,89.777,21.42,6.731,21.42
-9.3,89.793,21.42,6.731,21.42
-9.2,89.817,21.42,6.707,21.42
-9.1,89.793,21.42,6.707,21.42
-9.0,89.793,21.42,6.707,21.42
-8.9,89.793,21.42,6.707,21.42
-8.8,89.793,21.42,6.731,21.42
-8.7,89.793,21.42,6.731,21.42
-8.6,89.793,21.42,6.731,21.42
