time,pres_1,temp_1,pres_2,temp_2
-30.1,88.823,25.04,4.434,25.04
-30.0,88.823,25.04,4.434,25.04
-29.9,88.823,25.04,4.450,25.04
-29.8,88.823,25.04,4.474,25.04
-29.7,88.838,25.04,4.434,25.04
-29.6,88.823,25.04,4.434,25.04
-29.5,88.838,25.13,4.450,25.13
-29.4,88.823,25.04,4.450,25.04
-29.3,88.823,25.04,4.434,25.04
-29.2,88.823,25.04,4.434,25.04
-29.1,88.823,25.04,4.450,25.04
-29.0,88.823,25.04,4.450,25.04
-28.9,88.838,25.13,4.434,25.13
-28.8,88.823,25.04,4.450,25.04
-28.7,88.838,25.13,4.450,25.13
-28.6,88.823,25.04,4.434,25.04
-28.5,88.799,25.04,4.450,25.04
-28.4,88.799,25.04,4.434,25.04
-28.3,88.823,25.13,4.434,25.13
-28.2,88.838,25.13,4.434,25.13
-28.1,88.799,25.04,4.450,25.04
-28.0,88.799,25.04,4.411,25.04
-27.9,88.823,25.04,4.434,25.04
-27.8,88.823,25.04,4.434,25.04
-27.7,88.799,25.04,4.434,25.04
-27.6,88.823,25.13,4.450,25.13
-27.5,88.799,25.04,4.434,25.04
-27.4,88.823,25.04,4.434,25.04
-27.3,88.799,25.04,4.434,25.04
-27.2,88.823,25.04,4.434,25.04
-27.1,88.838,25.04,4.474,25.04
-27.0,88.799,25.04,4.450,25.04
-26.9,88.838,25.13,4.450,25.13
-26.8,88.823,25.04,4.434,25.04
-26.7,88.799,25.04,4.450,25.04
-26.6,88.823,25.13,4.434,25.13
-26.5,88.823,25.13,4.434,25.13
-26.4,88.838,25.13,4.434,25.13
-26.3,88.823,25.13,4.450,25.13
-26.2,88.799,25.04,4.450,25.04
-26.1,88.823,25.13,4.434,25.13
-26.0,88.799,25.04,4.434,25.04
-25.9,88.823,25.04,4.450,25.04
-25.8,88.799,25.04,4.434,25.04
-25.7,88.799,25.04,4.450,25.04
-25.6,88.823,25.04,4.434,25.04
-25.5,88.799,25.04,4.450,25.04
-25.4,88.799,25.04,4.434,25.04
-25.3,88.799,25.04,4.450,25.04
-25.2,88.799,25.04,4.434,25.04
-25.1,88.783,25.04,4.434,25.04
-25.0,88.799,25.04,4.434,25.04
-24.9,88.783,25.04,4.434,25.04
-24.8,88.799,25.04,4.434,25.04
-24.7,88.799,25.04,4.434,25.04
-24.6,88.799,25.04,4.450,25.04
-24.5,88.823,25.13,4.450,25.13
-24.4,88.823,25.13,4.450,25.13
-24.3,88.760,25.04,4.434,25.04
-24.2,88.783,25.04,4.450,25.04
-24.1,88.823,25.13,4.434,25.13
-24.0,88.823,25.13,4.434,25.13
-23.9,88.823,25.13,4.450,25.13
-23.8,88.823,25.13,4.434,25.13
-23.7,88.799,25.04,4.450,25.04
-23.6,88.823,25.13,4.450,25.13
-23.5,88.799,25.04,4.434,25.04
-23.4,88.799,25.04,4.434,25.04
-23.3,88.799,25.13,4.434,25.13
-23.2,88.799,25.13,4.450,25.13
-23.1,88.823,25.13,4.434,25.13
-23.0,88.823,25.13,4.434,25.13
-22.9,88.783,25.04,4.450,25.04
-22.8,88.783,25.04,4.434,25.04
-22.7,88.783,25.04,4.434,25.04
-22.6,88.799,25.04,4.434,25.04
-22.5,88.783,25.04,4.434,25.04
-22.4,88.783,25.04,4.450,25.04
-22.3,88.823,25.13,4.434,25.13
-22.2,88.823,25.13,4.411,25.13
-22.1,88.799,25.13,4.434,25.13
-22.0,88.799,25.13,4.434,25.13
-21.9,88.783,25.04,4.450,25.04
-21.8,88.783,25.04,4.474,25.04
-21.7,88.799,25.13,4.450,25.13
-21.6,88.783,25.04,4.450,25.04
-21.5,88.783,25.04,4.434,25.04
-21.4,88.783,25.04,4.434,25.04
-21.3,88.799,25.13,4.450,25.13
-21.2,88.799,25.04,4.434,25.04
-21.1,88.783,25.04,4.434,25.04
-21.0,88.799,25.13,4.450,25.13
-20.9,88.799,25.13,4.450,25.13
-20.8,88.799,25.13,4.434,25.13
-20.7,88.799,25.13,4.434,25.13
-20.6,88.799,25.13,4.434,25.13
-20.5,88.799,25.13,4.450,25.13
-20.4,88.783,25.04,4.474,25.04
-20.3,88.783,25.13,4.434,25.13
-20.2,88.783,25.13,4.434,25.13
-20.1,88.783,25.13,4.450,25.13
-20.0,88.799,25.13,4.450,25.13
-19.9,88.783,25.04,4.434,25.04
-19.8,88.760,25.13,4.474,25.13
-19.7,88.760,25.04,4.434,25.04
-19.6,88.783,25.13,4.434,25.13
-19.5,88.760,25.04,4.434,25.04
-19.4,88.783,25.04,4.474,25.04
-19.3,88.760,25.04,4.450,25.04
-19.2,88.799,25.13,4.450,25.13
-19.1,88.783,25.13,4.434,25.13
-19.0,88.783,25.13,4.474,25.13
-18.9,88.760,25.13,4.450,25.13
-18.8,88.783,25.13,4.434,25.13
-18.7,88.783,25.04,4.474,25.04
-18.6,88.783,25.13,4.434,25.13
-18.5,88.799,25.13,4.450,25.13
-18.4,88.783,25.13,4.434,25.13
-18.3,88.783,25.13,4.450,25.13
-18.2,88.783,25.13,4.434,25.13
-18.1,88.799,25.13,4.450,25.13
-18.0,88.783,25.13,4.434,25.13
-17.9,88.783,25.13,4.474,25.13
-17.8,88.783,25.13,4.450,25.13
-17.7,88.783,25.13,4.474,25.13
-17.6,88.783,25.13,4.450,25.13
-17.5,88.760,25.04,4.434,25.04
-17.4,88.783,25.13,4.450,25.13
-17.3,88.783,25.13,4.434,25.13
-17.2,88.783,25.13,4.434,25.13
-17.1,88.799,25.13,4.450,25.13
-17.0,88.783,25.13,4.474,25.13
-16.9,88.783,25.13,4.434,25.13
-16.8,88.783,25.13,4.450,25.13
-16.7,88.760,25.13,4.450,25.13
-16.6,88.783,25.13,4.450,25.13
-16.5,88.783,25.13,4.434,25.13
-16.4,88.783,25.13,4.434,25.13
-16.3,88.783,25.13,4.450,25.13
-16.2,88.760,25.13,4.434,25.13
-16.1,88.783,25.13,4.434,25.13
-16.0,88.783,25.13,4.434,25.13
-15.9,88.783,25.13,4.434,25.13
-15.8,88.760,25.13,4.474,25.13
-15.7,88.783,25.13,4.450,25.13
-15.6,88.783,25.13,4.450,25.13
-15.5,88.783,25.13,4.434,25.13
-15.4,88.760,25.13,4.434,25.13
-15.3,88.736,25.04,4.450,25.04
-15.2,88.783,25.13,4.450,25.13
-15.1,88.760,25.13,4.434,25.13
-15.0,88.736,25.04,4.450,25.04
-14.9,88.760,25.13,4.450,25.13
-14.8,88.760,25.13,4.450,25.13
-14.7,88.783,25.13,4.450,25.13
-14.6,88.783,25.13,4.450,25.13
-14.5,88.760,25.13,4.434,25.13
-14.4,88.760,25.13,4.450,25.13
-14.3,88.760,25.13,4.450,25.13
-14.2,88.760,25.13,4.450,25.13
-14.1,88.760,25.13,4.434,25.13
-14.0,88.760,25.13,4.450,25.13
-13.9,88.783,25.13,4.450,25.13
-13.8,88.760,25.13,4.434,25.13
-13.7,88.760,25.13,4.450,25.13
-13.6,88.760,25.13,4.434,25.13
-13.5,88.760,25.13,4.434,25.13
-13.4,88.760,25.13,4.450,25.13
-13.3,88.760,25.13,4.450,25.13
-13.2,88.760,25.13,4.450,25.13
-13.1,88.760,25.13,4.450,25.13
-13.0,88.760,25.13,4.474,25.13
-12.9,88.760,25.13,4.450,25.13
-12.8,88.760,25.13,4.434,25.13
-12.7,88.760,25.13,4.450,25.13
-12.6,88.736,25.04,4.434,25.04
-12.5,88.760,25.13,4.450,25.13
-12.4,88.760,25.13,4.434,25.13
-12.3,88.760,25.13,4.450,25.13
-12.2,88.760,25.13,4.474,25.13
-12.1,88.760,25.13,4.450,25.13
-12.0,88.760,25.13,4.474,25.13
-11.9,88.760,25.13,4.434,25.13
-11.8,88.760,25.13,4.450,25.13
-11.7,88.736,25.04,4.474,25.04
-11.6,88.760,25.13,4.434,25.13
-11.5,88.736,25.04,4.450,25.04
-11.4,88.720,25.04,4.450,25.04
-11.3,88.760,25.13,4.434,25.13
-11.2,88.736,25.13,4.450,25.13
-11.1,88.760,25.13,4.450,25.13
-11.0,88.720,25.04,4.450,25.04
-10.9,88.760,25.13,4.450,25.13
-10.8,88.760,25.13,4.450,25.13
-10.7,88.736,25.13,4.434,25.13
-10.6,88.720,25.04,4.450,25.04
-10.5,88.736,25.13,4.450,25.13
-10.4,88.760,25.13,4.474,25.13
-10.3,88.736,25.13,4.450,25.13
-10.2,88.760,25.13,4.434,25.13
-10.1,88.736,25.13,4.434,25.13
-10.0,88.720,25.04,4.450,25.04
-9.9,88.736,25.13,4.434,25.13
-9.8,88.720,25.04,4.450,25.04
-9.7,88.720,25.04,4.474,25.04
-9.6,88.760,25.13,4.434,25.13
-9.5,88.736,25.13,4.474,25.13
-9.4,88.736,25.13,4.474,25.13
-9.3,88.736,25.13,4.474,25.13
-9.2,88.720,25.13,4.450,25.13
-9.1,88.736,25.13,4.434,25.13
-9.0,88.720,25.13,4.450,25.13
-8.9,88.736,25.13,4.450,25.13
-8.8,88.696,25.04,4.450,25.04
-8.7,88.736,25.13,4.450,25.13
-8.6,88.720,25.04,4.434,25.04
-8.5,88.736,25.13,4.474,25.13
-8.4,88.736,25.13,4.474,25.13
-8.3,88.736,25.13,4.474,25.13
-8.2,88.736,25.13,4.434,25.13
-8.1,88.720,25.13,4.450,25.13
-8.0,88.736,25.13,4.474,25.13
-7.9,88.720,25.04,4.474,25.04
-7.8,88.720,25.13,4.450,25.13
-7.7,88.696,25.04,4.450,25.04
-7.6,88.720,25.13,4.474,25.13
-7.5,88.696,25.04,4.450,25.04
-7.4,88.696,25.04,4.450,25.04
-7.3,88.720,25.13,4.474,25.13
-7.2,88.736,25.13,4.450,25.13
-7.1,88.720,25.13,4.474,25.13
-7.0,88.720,25.04,4.450,25.04
-6.9,88.696,25.04,4.474,25.04
-6.8,88.720,25.13,4.474,25.13
-6.7,88.696,25.04,4.450,25.04
-6.6,88.696,25.04,4.434,25.04
-6.5,88.720,25.13,4.474,25.13
-6.4,88.696,25.04,4.450,25.04
-6.3,88.720,25.13,4.450,25.13
-6.2,88.720,25.13,4.474,25.13
-6.1,88.696,25.04,4.474,25.04
-6.0,88.696,25.04,4.434,25.04
-5.9,88.696,25.04,4.450,25.04
-5.8,88.696,25.13,4.434,25.13
-5.7,88.720,25.04,4.474,25.04
-5.6,88.696,25.13,4.450,25.13
-5.5,88.720,25.13,4.450,25.13
-5.4,88.720,25.13,4.450,25.13
-5.3,88.720,25.13,4.450,25.13
-5.2,88.696,25.04,4.474,25.04
-5.1,88.696,25.13,4.434,25.13
-5.0,88.696,25.13,4.450,25.13
-4.9,88.720,25.13,4.474,25.13
-4.8,88.681,25.04,4.450,25.04
-4.7,88.681,25.04,4.450,25.04
-4.6,88.681,25.04,4.474,25.04
