time,pres_1,temp_1,pres_2,temp_2
-30.0,87.592,21.91,8.853,21.91
-29.9,87.592,21.91,8.877,21.91
-29.8,87.592,21.91,8.900,21.91
-29.7,87.608,21.91,8.900,21.91
-29.6,87.608,21.91,8.900,21.91
-29.5,87.608,21.91,8.900,21.91
-29.4,87.608,21.91,8.900,21.91
-29.3,87.592,21.91,8.877,21.91
-29.2,87.592,21.91,8.900,21.91
-29.1,87.608,21.91,8.877,21.91
-29.0,87.592,21.91,8.900,21.91
-28.9,87.608,21.91,8.877,21.91
-28.8,87.608,21.91,8.900,21.91
-28.7,87.608,21.91,8.924,21.91
-28.6,87.608,21.91,8.877,21.91
-28.5,87.608,21.91,8.924,21.91
-28.4,87.608,21.91,8.877,21.91
-28.3,87.608,21.91,8.900,21.91
-28.2,87.608,21.91,8.900,21.91
-28.1,87.608,21.91,8.900,21.91
-28.0,87.608,21.91,8.853,21.91
-27.9,87.608,21.91,8.900,21.91
-27.8,87.608,21.91,8.900,21.91
-27.7,87.608,21.91,8.900,21.91
-27.6,87.608,21.91,8.924,21.91
-27.5,87.608,21.91,8.900,21.91
-27.4,87.608,21.91,8.900,21.91
-27.3,87.608,21.91,8.900,21.91
-27.2,87.608,21.91,8.900,21.91
-27.1,87.608,21.91,8.900,21.91
-27.0,87.608,21.91,8.900,21.91
-26.9,87.608,21.91,8.900,21.91
-26.8,87.608,21.91,8.900,21.91
-26.7,87.608,21.91,8.877,21.91
-26.6,87.608,21.91,8.924,21.91
-26.5,87.592,21.91,8.877,21.91
-26.4,87.608,21.91,8.900,21.91
-26.3,87.608,21.91,8.900,21.91
-26.2,87.608,21.91,8.924,21.91
-26.1,87.608,21.91,8.924,21.91
-26.0,87.608,21.91,8.900,21.91
-25.9,87.592,21.91,8.924,21.91
-25.8,87.631,21.91,8.900,21.91
-25.7,87.608,21.91,8.900,21.91
-25.6,87.608,21.91,8.924,21.91
-25.5,87.608,21.91,8.924,21.91
-25.4,87.608,21.91,8.900,21.91
-25.3,87.608,21.91,8.900,21.91
-25.2,87.608,21.91,8.877,21.91
-25.1,87.608,21.91,8.853,21.91
-25.0,87.608,21.91,8.900,21.91
-24.9,87.608,21.91,8.877,21.91
-24.8,87.608,21.91,8.900,21.91
-24.7,87.608,21.91,8.877,21.91
-24.6,87.608,21.91,8.924,21.91
-24.5,87.608,21.91,8.877,21.91
-24.4,87.608,21.91,8.900,21.91
-24.3,87.608,21.91,8.900,21.91
-24.2,87.592,21.91,8.924,21.91
-24.1,87.608,21.91,8.900,21.91
-24.0,87.608,21.91,8.900,21.91
-23.9,87.608,21.91,8.900,21.91
-23.8,87.608,21.91,8.924,21.91
-23.7,87.608,21.91,8.924,21.91
-23.6,87.608,21.91,8.900,21.91
-23.5,87.608,21.91,8.900,21.91
-23.4,87.608,21.91,8.924,21.91
-23.3,87.592,21.91,8.924,21.91
-23.2,87.608,21.91,8.924,21.91
-23.1,87.608,21.91,8.924,21.91
-23.0,87.592,21.91,8.877,21.91
-22.9,87.608,21.91,8.900,21.91
-22.8,87.631,21.91,8.924,21.91
-22.7,87.608,21.91,8.900,21.91
-22.6,87.608,21.91,8.900,21.91
-22.5,87.608,21.91,8.900,21.91
-22.4,87.608,21.91,8.900,21.91
-22.3,87.608,21.91,8.924,21.91
-22.2,87.608,21.91,8.900,21.91
-22.1,87.608,21.91,8.924,21.91
-22.0,87.631,21.91,8.900,21.91
-21.9,87.608,21.91,8.900,21.91
-21.8,87.608,21.91,8.900,21.91
-21.7,87.631,21.91,8.900,21.91
-21.6,87.608,21.91,8.877,21.91
-21.5,87.608,21.91,8.900,21.91
-21.4,87.608,21.91,8.924,21.91
-21.3,87.631,21.91,8.900,21.91
-21.2,87.608,21.91,8.900,21.91
-21.1,87.608,21.91,8.900,21.91
-21.0,87.608,21.91,8.877,21.91
-20.9,87.608,21.91,8.924,21.91
-20.8,87.608,21.91,8.924,21.91
-20.7,87.608,21.91,8.924,21.91
-20.6,87.631,21.91,8.924,21.91
-20.5,87.608,21.91,8.924,21.91
-20.4,87.608,21.91,8.924,21.91
-20.3,87.592,21.91,8.900,21.91
-20.2,87.608,21.91,8.900,21.91
-20.1,87.608,21.91,8.900,21.91
-20.0,87.608,21.91,8.924,21.91
-19.9,87.608,21.91,8.924,21.91
-19.8,87.608,21.91,8.877,21.91
-19.7,87.608,21.91,8.924,21.91
-19.6,87.608,21.91,8.924,21.91
-19.5,87.608,21.91,8.924,21.91
-19.4,87.608,21.91,8.924,21.91
-19.3,87.608,21.91,8.900,21.91
-19.2,87.608,21.91,8.924,21.91
-19.1,87.608,21.91,8.924,21.91
-19.0,87.608,21.91,8.900,21.91
-18.9,87.608,21.91,8.924,21.91
-18.8,87.608,21.91,8.900,21.91
-18.7,87.592,21.91,8.924,21.91
-18.6,87.608,21.91,8.924,21.91
-18.5,87.592,21.91,8.924,21.91
-18.4,87.608,21.91,8.924,21.91
-18.3,87.608,21.91,8.900,21.91
-18.2,87.631,21.91,8.924,21.91
-18.1,87.608,21.91,8.900,21.91
-18.0,87.608,21.91,8.900,21.91
-17.9,87.608,21.91,8.924,21.91
-17.8,87.608,21.91,8.924,21.91
-17.7,87.608,21.91,8.924,21.91
-17.6,87.608,21.91,8.924,21.91
-17.5,87.608,21.91,8.924,21.91
-17.4,87.608,21.91,8.877,21.91
-17.3,87.608,21.91,8.877,21.91
-17.2,87.608,21.91,8.924,21.91
-17.1,87.608,21.91,8.877,21.91
-17.0,87.608,21.91,8.948,21.91
-16.9,87.608,21.91,8.924,21.91
-16.8,87.608,21.91,8.900,21.91
-16.7,87.608,21.91,8.900,21.91
-16.6,87.608,21.91,8.900,21.91
-16.5,87.608,21.91,8.900,21.91
-16.4,87.631,21.91,8.900,21.91
-16.3,87.608,21.91,8.900,21.91
-16.2,87.608,21.91,8.924,21.91
-16.1,87.608,21.91,8.924,21.91
-16.0,87.608,21.91,8.924,21.91
-15.9,87.608,21.91,8.924,21.91
-15.8,87.608,21.91,8.924,21.91
-15.7,87.608,21.91,8.924,21.91
-15.6,87.608,21.91,8.948,21.91
-15.5,87.608,21.91,8.924,21.91
-15.4,87.608,21.91,8.948,21.91
-15.3,87.608,21.91,8.924,21.91
-15.2,87.608,21.91,8.924,21.91
-15.1,87.608,21.91,8.948,21.91
-15.0,87.631,21.91,8.924,21.91
-14.9,87.608,21.91,8.924,21.91
-14.8,87.631,21.91,8.900,21.91
-14.7,87.608,21.91,8.900,21.91
-14.6,87.608,21.91,8.924,21.91
-14.5,87.631,21.91,8.924,21.91
-14.4,87.608,21.91,8.924,21.91
-14.3,87.608,21.91,8.948,21.91
-14.2,87.608,21.91,8.877,21.91
-14.1,87.608,21.91,8.948,21.91
-14.0,87.608,21.91,8.900,21.91
-13.9,87.608,21.91,8.924,21.91
-13.8,87.608,21.91,8.900,21.91
-13.7,87.608,21.91,8.900,21.91
-13.6,87.608,21.91,8.924,21.91
-13.5,87.608,21.91,8.924,21.91
-13.4,87.608,21.91,8.900,21.91
-13.3,87.608,21.91,8.900,21.91
-13.2,87.592,21.91,8.900,21.91
-13.1,87.608,21.91,8.924,21.91
-13.0,87.608,21.91,8.900,21.91
-12.9,87.608,21.91,8.924,21.91
-12.8,87.592,21.91,8.900,21.91
-12.7,87.608,21.91,8.924,21.91
-12.6,87.608,21.91,8.948,21.91
-12.5,87.592,21.91,8.924,21.91
-12.4,87.608,21.91,8.924,21.91
-12.3,87.608,21.91,8.948,21.91
-12.2,87.608,21.91,8.924,21.91
-12.1,87.608,21.91,8.900,21.91
-12.0,87.608,21.91,8.900,21.91
-11.9,87.592,21.91,8.924,21.91
-11.8,87.608,21.91,8.900,21.91
-11.7,87.608,21.91,8.900,21.91
-11.6,87.608,21.91,8.924,21.91
-11.5,87.592,21.91,8.900,21.91
-11.4,87.592,21.91,8.948,21.91
-11.3,87.608,21.91,8.948,21.91
-11.2,87.592,21.91,8.924,21.91
-11.1,87.608,21.91,8.924,21.91
-11.0,87.608,21.91,8.900,21.91
-10.9,87.608,21.91,8.900,21.91
-10.8,87.608,21.91,8.924,21.91
-10.7,87.608,21.91,8.924,21.91
-10.6,87.608,21.91,8.924,21.91
-10.5,87.608,21.91,8.900,21.91
-10.4,87.608,21.91,8.924,21.91
-10.3,87.608,21.91,8.924,21.91
-10.2,87.608,21.91,8.924,21.91
-10.1,87.608,21.91,8.948,21.91
-10.0,87.608,21.91,8.900,21.91
-9.9,87.631,21.91,8.948,21.91
-9.8,87.608,21.91,8.948,21.91
-9.7,87.608,21.91,8.900,21.91
-9.6,87.608,21.91,8.924,21.91
-9.5,87.608,21.91,8.924,21.91
-9.4,87.608,21.91,8.924,21.91
-9.3,87.608,21.91,8.924,21.91
-9.2,87.592,21.91,8.900,21.91
-9.1,87.608,21.91,8.924,21.91
-9.0,87.631,21.91,8.924,21.91
-8.9,87.608,21.91,8.948,21.91
-8.8,87.631,21.91,8.948,21.91
-8.7,87.608,21.91,8.924,21.91
-8.6,87.608,21.91,8.948,21.91
-8.5,87.608,21.91,8.924,21.91
-8.4,87.592,21.91,8.900,21.91
-8.3,87.608,21.91,8.948,21.91
-8.2,87.608,21.91,8.900,21.91
-8.1,87.608,21.91,8.924,21.91
-8.0,87.592,21.91,8.900,21.91
-7.9,87.608,21.91,8.900,21.91
-7.8,87.592,21.91,8.900,21.91
-7.7,87.608,21.91,8.900,21.91
-7.6,87.608,21.91,8.924,21.91
-7.5,87.608,21.91,8.924,21.91
-7.4,87.592,21.91,8.924,21.91
-7.3,87.592,21.91,8.924,21.91
-7.2,87.608,21.91,8.924,21.91
-7.1,87.608,21.91,8.900,21.91
-7.0,87.608,21.91,8.924,21.91
-6.9,87.608,21.91,8.924,21.91
-6.8,87.608,21.91,8.924,21.91
-6.7,87.608,21.91,8.924,21.91
-6.6,87.592,21.91,8.924,21.91
-6.5,87.608,21.91,8.900,21.91
-6.4,87.608,21.91,8.924,21.91
-6.3,87.608,21.91,8.924,21.91
-6.2,87.608,21.91,8.877,21.91
-6.1,87.608,21.91,8.924,21.91
-6.0,87.592,21.91,8.948,21.91
-5.9,87.608,21.91,8.948,21.91
-5.8,87.608,21.91,8.924,21.91
-5.7,87.608,21.91,8.924,21.91
-5.6,87.608,21.91,8.948,21.91
-5.5,87.608,21.91,8.900,21.91
-5.4,87.608,21.91,8.924,21.91
-5.3,87.608,21.91,8.948,21.91
-5.2,87.608,21.91,8.924,21.91
-5.1,87.608,21.91,8.924,21.91
-5.0,87.608,21.91,8.924,21.91
-4.9,87.608,21.91,8.924,21.91
-4.8,87.608,21.91,8.924,21.91
-4.7,87.608,21.91,8.924,21.91
-4.6,87.592,21.91,8.924,21.91
-4.5,87.608,21.91,8.948,21.91
-4.4,87.608,21.91,8.924,21.91
-4.3,87.608,21.91,8.924,21.91
-4.2,87.608,21.91,8.900,21.91
-4.1,87.608,21.91,8.924,21.91
-4.0,87.592,21.91,8.924,21.91
-3.9,87.608,21.91,8.924,21.91
-3.8,87.608,21.91,8.924,21.91
-3.7,87.608,21.91,8.900,21.91
-3.6,87.608,21.91,8.924,21.91
-3.5,87.608,21.91,8.924,21.91
-3.4,87.608,21.91,8.948,21.91
-3.3,87.631,21.91,8.900,21.91
-3.2,87.608,21.91,8.948,21.91
-3.1,87.608,21.91,8.924,21.91
-3.0,87.608,21.91,8.948,21.91
-2.9,87.608,21.91,8.900,21.91
-2.8,87.608,21.91,8.948,21.91
-2.7,87.608,21.91,8.924,21.91
-2.6,87.592,21.91,8.948,21.91
-2.5,87.608,21.91,8.948,21.91
-2.4,87.608,21.91,8.924,21.91
-2.3,87.608,21.91,8.900,21.91
-2.2,87.608,21.91,8.924,21.91
-2.1,87.608,21.91,8.948,21.91
-2.0,87.608,21.91,8.900,21.91
-1.9,87.608,21.91,8.924,21.91
-1.8,87.608,21.91,8.924,21.91
-1.7,87.608,21.91,8.948,21.91
-1.6,87.608,21.91,8.924,21.91
-1.5,87.608,21.91,8.924,21.91
-1.4,87.608,21.91,8.948,21.91
-1.3,87.608,21.91,8.924,21.91
-1.2,87.608,21.91,8.924,21.91
-1.1,87.608,21.91,8.924,21.91
-1.0,87.608,21.91,8.948,21.91
-0.9,87.608,21.91,8.948,21.91
-0.8,87.608,21.91,8.948,21.91
-0.7,87.608,21.91,8.924,21.91
-0.6,87.608,21.91,8.948,21.91
-0.5,87.592,21.91,8.948,21.91
-0.4,87.608,21.91,8.924,21.91
-0.3,87.592,21.91,8.924,21.91
-0.2,87.608,21.91,8.924,21.91
-0.1,87.229,21.91,9.800,21.91
-0.0,82.573,21.91,13.138,21.91
0.1,74.517,21.91,18.621,21.91
0.2,63.297,21.91,26.173,21.91
0.3,51.233,22.01,34.663,22.01
0.4,44.589,21.91,40.912,21.91
0.5,43.003,21.91,42.853,21.91
0.6,42.861,21.91,42.758,21.91
0.7,42.798,21.91,42.711,21.91
0.8,42.782,21.91,42.672,21.91
0.9,42.782,21.91,42.695,21.91
1.0,42.782,22.01,42.695,22.01
1.1,42.782,22.01,42.695,22.01
1.2,42.798,21.91,42.711,21.91
1.3,42.821,21.91,42.735,21.91
1.4,42.821,22.01,42.735,22.01
1.5,42.821,21.91,42.735,21.91
1.6,42.821,22.01,42.758,22.01
1.7,42.845,22.01,42.758,22.01
1.8,42.821,22.01,42.758,22.01
1.9,42.821,22.01,42.735,22.01
2.0,42.821,22.01,42.711,22.01
2.1,42.821,22.01,42.735,22.01
2.2,42.821,22.01,42.735,22.01
2.3,42.798,22.01,42.735,22.01
2.4,42.798,22.01,42.711,22.01
2.5,42.758,22.01,42.711,22.01
2.6,42.782,22.01,42.672,22.01
2.7,42.782,22.01,42.672,22.01
2.8,42.782,22.01,42.695,22.01
2.9,42.758,22.01,42.695,22.01
3.0,42.782,22.01,42.695,22.01
3.1,42.782,22.01,42.695,22.01
3.2,42.758,22.01,42.672,22.01
3.3,42.758,22.01,42.672,22.01
3.4,42.743,22.01,42.672,22.01
3.5,42.758,22.01,42.648,22.01
3.6,42.743,22.01,42.624,22.01
3.7,42.743,22.01,42.672,22.01
3.8,42.719,22.01,42.648,22.01
3.9,42.743,22.01,42.624,22.01
4.0,42.719,22.01,42.648,22.01
4.1,42.743,22.01,42.624,22.01
4.2,42.743,22.01,42.672,22.01
4.3,42.743,22.01,42.648,22.01
4.4,42.743,22.01,42.624,22.01
4.5,42.695,22.01,42.624,22.01
4.6,42.719,22.01,42.672,22.01
4.7,42.743,22.01,42.648,22.01
4.8,42.719,22.01,42.624,22.01
4.9,42.719,22.01,42.672,22.01
5.0,42.719,22.01,42.648,22.01
5.1,42.719,22.01,42.648,22.01
5.2,42.719,22.01,42.648,22.01
5.3,42.695,22.01,42.672,22.01
5.4,42.695,22.01,42.624,22.01
5.5,42.719,22.01,42.648,22.01
5.6,42.695,22.01,42.624,22.01
5.7,42.695,22.01,42.624,22.01
5.8,42.695,22.01,42.648,22.01
5.9,42.695,22.01,42.672,22.01
6.0,42.719,22.01,42.648,22.01
6.1,42.719,22.01,42.624,22.01
6.2,42.719,22.01,42.648,22.01
6.3,42.695,22.01,42.624,22.01
6.4,42.719,22.01,42.672,22.01
6.5,42.719,22.01,42.648,22.01
6.6,42.695,22.01,42.648,22.01
6.7,42.695,22.01,42.648,22.01
6.8,42.719,22.01,42.648,22.01
6.9,42.719,22.01,42.624,22.01
7.0,42.695,22.01,42.624,22.01
7.1,42.695,22.01,42.624,22.01
7.2,42.719,22.01,42.624,22.01
7.3,42.695,22.01,42.648,22.01
7.4,42.719,22.01,42.648,22.01
7.5,42.695,22.01,42.624,22.01
7.6,42.695,22.01,42.648,22.01
7.7,42.719,22.01,42.648,22.01
7.8,42.719,22.01,42.648,22.01
7.9,42.719,22.01,42.624,22.01
8.0,42.719,22.01,42.624,22.01
8.1,42.719,22.01,42.624,22.01
8.2,42.695,22.01,42.648,22.01
8.3,42.679,22.01,42.624,22.01
8.4,42.719,22.01,42.648,22.01
8.5,42.719,22.01,42.648,22.01
8.6,42.719,22.01,42.648,22.01
8.7,42.695,22.01,42.624,22.01
8.8,42.695,22.01,42.648,22.01
8.9,42.719,22.01,42.648,22.01
9.0,42.695,22.01,42.624,22.01
9.1,42.719,22.01,42.648,22.01
9.2,42.695,22.01,42.624,22.01
9.3,42.695,22.01,42.648,22.01
9.4,42.695,22.01,42.648,22.01
9.5,42.719,22.01,42.624,22.01
9.6,42.695,22.01,42.648,22.01
9.7,42.719,22.01,42.624,22.01
9.8,42.695,22.01,42.648,22.01
9.9,42.695,22.01,42.648,22.01
10.0,42.695,22.01,42.648,22.01
10.1,42.719,22.01,42.648,22.01
10.2,42.719,22.01,42.648,22.01
10.3,42.695,22.01,42.648,22.01
10.4,42.719,22.01,42.648,22.01
10.5,42.719,22.01,42.648,22.01
10.6,42.719,22.01,42.648,22.01
10.7,42.719,22.01,42.648,22.01
10.8,42.719,22.01,42.624,22.01
10.9,42.719,22.01,42.672,22.01
11.0,42.719,22.01,42.648,22.01
11.1,42.719,22.01,42.624,22.01
11.2,42.695,22.01,42.648,22.01
11.3,42.695,22.01,42.648,22.01
11.4,42.695,22.01,42.672,22.01
11.5,42.695,22.01,42.624,22.01
11.6,42.695,22.01,42.624,22.01
11.7,42.695,22.01,42.672,22.01
11.8,42.719,22.01,42.648,22.01
11.9,42.695,22.01,42.648,22.01
12.0,42.719,22.01,42.648,22.01
12.1,42.695,22.01,42.624,22.01
12.2,42.679,22.01,42.648,22.01
12.3,42.719,22.01,42.648,22.01
12.4,42.719,22.01,42.648,22.01
12.5,42.695,22.01,42.648,22.01
12.6,42.695,22.01,42.624,22.01
12.7,42.695,22.01,42.624,22.01
12.8,42.695,22.01,42.648,22.01
12.9,42.719,22.01,42.624,22.01
13.0,42.719,22.01,42.648,22.01
13.1,42.695,22.01,42.648,22.01
13.2,42.695,22.01,42.672,22.01
13.3,42.695,22.01,42.648,22.01
13.4,42.719,22.01,42.648,22.01
13.5,42.679,22.01,42.624,22.01
13.6,42.695,22.01,42.624,22.01
13.7,42.695,22.01,42.648,22.01
13.8,42.679,22.01,42.648,22.01
13.9,42.695,22.01,42.624,22.01
14.0,42.695,22.01,42.624,22.01
14.1,42.695,22.01,42.624,22.01
14.2,42.719,22.01,42.648,22.01
14.3,42.695,22.01,42.648,22.01
14.4,42.695,22.01,42.648,22.01
14.5,42.719,22.01,42.672,22.01
14.6,42.695,22.01,42.672,22.01
14.7,42.719,22.01,42.624,22.01
14.8,42.719,22.01,42.648,22.01
